Problem,Content,Concept
LR_DO_ch7_P1,"7.1. Snedecor and Cochran (1967, p. 300) give a data set with 5 types of soybean seed. The response frate = number of seeds out of 100 that failed to germinate. Five blocks were used. Assume the appropriate model can be used (although this assumption may not be valid due to a possible interaction between the block and the treatment).
a) Did blocking help? Explain briefly.
b) Perform the appropriate 4 step test using the output above.","Hypothesis Testing, Diagnostic"
LR_DO_ch7_P2,"Current nitrogen fertilization recommendations for wheat include applications of specified amounts at specified stages of plant growth. The treatment consisted of six different nitrogen application and rate schedules. The wheat was planted in an irrigated field that had a water gradient in one direction as a result of the irrigation. The field plots were grouped into four blocks, each consisting of six plots, such that each block occurred in the same part of the water gradient. The response was the observed nitrogen content from a sample of wheat stems from each plot. The experimental units were the 24 plots. Data is from Kuehl (1994, p. 263).
a) Did blocking help? Explain briefly.
b) Perform the appropriate 4 step test using the output above.","Hypothesis testing, Diagnostic"
LR_DO_ch7_P3,"An experimenter wanted to test 4 types of an altimeter. There were eight helicopter pilots available for hire with from 500 to 3000 flight hours of experience. The response variable was the altimeter reading error. Perform the appropriate 4 step test using the output below. Data is from Kirk (1982, p. 244).","Hypothesis Testing, Diagnostic"
LR_DO_ch7_P4,"This problem is for a one way block design and uses data from Box et al. (2005, p. 146).
a) Copy and paste the SAS program for this problem from (http://lagrange.math.siu.edu/Olive/lreghw.txt). Print out the out- put but only turn in the ANOVA table, residual plot, and response plot.
b) Do the plots look ok?
c) Copy the SAS data into Minitab much as done for Problem 6.4. Right below C1 type “block,” below C2 type “treat,” and below C3 type “yield.”
d) Select Stat>ANOVA>Two-way, select “C3 yield” as the response and “C1 block” as the row factor and “C2 treat” as the column factor. Click on “Fit additive model,” click on “Store residuals,” and click on “Store fits.” Then click on “OK.”
e) block response scatterplot: Use file commands “Edit>Command Line Editor” and write the following lines in the window.
GSTD
LPLOT ‘yield’ vs ‘block’ codes for ‘treat’

","Hypothesis Testing, Diagnostic,Computational Statistic"
LR_DO_ch7_P5,"This problem is for a Latin square design and uses data from Box et al. (2005, pp. 157–160).
244 7 Block Designs Copy and paste the SAS program for this problem from
(http://lagrange.math.siu.edu/Olive/lreghw.txt).
a) Click on the output and use the menu commands “Edit>Select All” and “Edit>Copy. In Word use the menu command “Paste” then use the left mouse button to highlight the first page of output. Then use the menu command “Cut.” Then there should be one page of output including the ANOVA table. Print out this page.
b) Copy the data for this problem from (http://lagrange.math.siu.edu/Olive/lregdata.txt)
into R. Use the following commands to create a residual plot. Copy and paste the plot into Word. (Click on the plot and simultaneously hit the Ctrl and c buttons. Then go to Word and use the menu command “Paste.”)
  z<-aov(emissions~rblocks+cblocks+additives,auto)
  summary(z)
  plot(fitted(z),resid(z))
  title(""Residual Plot"")
abline(0,0)
c) Use the following commands to create a response plot. Copy and paste the plot into Word. (Click on the plot and simultaneously hit the Ctrl and c buttons. Then go to Word and use the menu command “Paste.”)
  attach(auto)
  FIT <- auto$emissions - z$resid
  plot(FIT,auto$emissions)
  title(""Response Plot"")
  abline(0,1)
  detach(auto)
d) Do the plots look ok?
e) Were the column blocks useful? Explain briefly. f) Were the row blocks useful? Explain briefly.
g) Do an appropriate 4 step test.

","Hypothesis Testing, Diagnostic,Computational Statistic"
LR_DO_ch7_P6,"Obtain the Box et al. (2005, p. 146) penicillin data from (http://lagrange.math.siu.edu/Olive/lregdata.txt) and the R pro- gram ganova2 from (http://lagrange.math.siu.edu/Olive/lregpack. txt). The program does graphical Anova for completely randomized block designs.
a) Copy and paste the R commands for this problem into R. Include the plot in Word by simultaneously pressing the Ctrl and c keys, then using the menu command “Paste” in Word.
b) Blocking seems useful because some of the scaled block deviations are outside of the spread of the residuals. The scaled treatment deviations are in the middle of the plot. Do the treatments appear to be significantly different?","Hypothesis Testing, Diagnostic,Computational Statistic"
LR_DO_ch8_P1,"From the above least squares output, what is the AB effect?",Diagnostic
LR_DO_ch8_P2,"Ledolter and Swersey (2007, pp. 108–109) describes a 23 experiment designed to increase subscriptions of the magazine Ladies’ Home Journal. The 2005 campaign made 8 brochures containing an order card. Each brochure was mailed to 15042 households, and the response Y was the percentage of orders. Factor A was front side of order card with (−1) highlighting “Double our Best Offer” and (+1) highlighting “We never had a bigger sale.” Factor B was back side of order card with (−1) emphasizing “Two extra years free,” while (+1) featured magazine covers of a previous issue. Factor C was brochure cover with (−1) featuring Kelly Ripa and (+1) Dr. Phil. Assume m = 1.
a) Find the A effect.
b) Find the C effect.
c) Find SSC = MSC.
d) If two of the three factors A, B and C are active, which is inactive?",Diagnostic
LR_DO_ch8_P3,"The above table of 23 contrasts is for 25−2 data. III
a) Estimate the B effect. b) Estimate the D effect.

",Diagnostic
LR_DO_ch8_P4,"Suppose that for 23 data with m = 2, the MSE = 407.5625. Find SE(effect).

",Diagnostic
LR_DO_ch8_P5,"Ledolter and Swersey (2007, p. 131) describe a 27−4 data set shown
III
with the table of 23 contrasts above. Estimate the D effect.
",Diagnostic
LR_DO_ch8_P6,"Kuehl (1994, pp. 361–366) describes a 23 experiment designed to investigate the effects of furnace temperature (1840 or 1880oF), heating time (23 or 25 sec) and transfer time (10 or 12 sec) on the quality of a leaf spring used for trucks. (The response Y was a measure of the quality.) The table of contrasts is shown above.
a) Find the A effect.
b) Find the B effect.
c) Find the AB effect.
d) If m = 1, find SSA.
e) If m = 1, find SSB.
f) If m = 1, find SSAB.
g) If m = 2 and MSE = 9, find SE(effect).
(The SE is the same regardless of the effect.)
h) Suppose high Y = y is desirable. If two of the factors A, B, and C are
inert and one is active, then which is active and which are inert. (Hint: look at the 4 highest values of y. Is there a pattern?)
i) If one of the factors has an interaction with the active factor, what is the interaction (e.g. AB, AC, or BC)?

",Diagnostic
LR_DO_ch8_P7,"Suppose the B effect = −5, SE(effect) = 2, and dfe = 8.
i) Find a 95% confidence interval for the B effect. ii) Is the B effect significant? Explain briefly.","Diagnostic, Inference"
LR_DO_ch8_P8,"Copy the Box et al. (2005, p. 199) product development data from (http://lagrange.math.siu.edu/Olive/lregdata.txt) into R.
Then type the following commands.
  out <- aov(conversion~K*Te*P*C,devel)
  summary(out)
a) Include the output in Word.
b) What are the five effects with the biggest mean squares? Note: an AB interaction is denoted by A:B in R.","Residual, Diagnostic"
LR_DO_ch8_P9,"Get the SAS program for this problem from (http://lagrange.math.siu. edu/Olive/lreghw.txt). The data is the pilot plant example from Box et al. (2005, pp. 177–186). The response variable is Y = yield, while the three predictors (T = temp, C = concentration, K = catalyst) are at two levels.
a) Print out the output but do not turn in the first page. b) Do the residual and response plots look ok?","Diagnostic, Hypothesis testing,Computational statistics"
LR_DO_ch8_P10,"Get the data for this problem. The data is the pilot plant example from Box et al. (2005, pp. 177–186) examined in Problem 8.9. Minitab needs the levels for the factors and the interactions.
Highlight the data and use the menu commands “Edit>Copy.” In Minitab, use the menu command “Edit>PasteCells.” After a window appears, click on ok.
Below C1 type “A”, below C2 type “B”, below C3 type “C” and below C8 type “yield.”
a) Use the menu command “STAT>ANOVA>Balanced Anova” put “yield” in the responses box and
A|B|C
in the Model box. Click on “Storage.” When a window appears, click on “Fits” and “Residuals.” Then click on “OK”. This window will disappear. Click on “OK.”
b) Next highlight the bottom 8 lines and use the menu commands “Edit>Delete Cells”. Then the data set does not have replication. Use the menu command “STAT>ANOVA>Balanced Anova” put “yield” in the re- sponses box and
A B C A*C
in the Model box. Click on “Storage.” When a window appears, click on “Fits” and “Residuals.” Then click on “OK”. This window will disappear. Click on “OK.”
(The model A|B|C would have resulted in an error message, not enough data.) c) Print the output by clicking on the top window and then clicking on the printer icon.
d) Make a response plot with the menu commands “Graph>Plot” with yield in the Y box and FIT2 in the X box. Print by clicking on the printer icon.
e) Make a residual plot with the menu commands “Graph>Plot” with RESI2 in the Y box and FIT2 in the X box. Print by clicking on the printer icon.
f) Do the plots look ok?","Diagnostic, Hypothesis testing,Computational statistics,Estimation"
LR_DO_ch8_P11,"et the R code and data for this problem from (http://lagrange.math.siu.edu/Olive/lreghw.txt). The data is the pilot plant
8.6 Problems 281
example from Box et al. (2005, pp. 177–186) examined in Problems 8.9 and 8.10.
a) Copy and paste the code into R. Then copy and paste the output into Notepad. Print out the page of output.
b) The least squares estimate = coefficient for x1 is half the A effect. So what is the A effect?
","Diagnostic, Hypothesis testing,Computational statistics,Estimation"
LR_DO_ch8_P12,"a) Obtain and the R program twocub from (http://lagrange.math.siu.edu/Olive/lregpack.txt). To get the effects, mean squares, and SE(effect) for the Box et al. (2005, p. 177) pilot plant data, type the following commands and include the output in Word.
  mns <- c(60,72,54,68,52,83,45,80)
  twocub(mns,m=2,MSE=8)
b) Which effects appear to be significant from the QQ plot? (Match the effects on the plot with the output on the screen.)","Diagnostic, Hypothesis testing,Computational statistics"
LR_DO_ch8_P13,"Box et al. (2005, p. 237) describe a 24−1 fractional factorial design. IV
Assuming that you downloaded the twocub function in the previous problem, type the following R commands.
  mns <- c(20,14,17,10,19,13,14,10)
  twocub(mns,m=1)
a) Include the output in Word, print out the output and label the effects on the output with the corresponding effects from a 24−1 fractional factorial
IV
design.
b) Include the QQ plot in Word. Print out the plot. Which effects (from
the fractional factorial design) seem to be significant?
","Diagnostic, Hypothesis testing,Computational statistics"
LR_DO_ch8_P14,"a) Download lregpack into R, and type the following commands. mns <- c(14,16,8,22,19,37,20,38,1,8,4,10,12,30,13,30)
  twofourth(mns)
This is the Ledolter and Swersey (2007, p. 80) cracked pots 24 data and the response and residual plots are from the model without 3 and 4 factor interactions.
b) Copy the plots into Word and print the plots. Do the response and residual plots look ok?","Diagnostic, Hypothesis testing,Computational statistics,Estimation"
LR_DO_ch8_P15,"Download lregpack into R. The data is the PB(12) example from
Box et al. (2005, p. 287).
a) Type the following commands. Copy and paste the QQ plot into Word
and print the plot.
  resp <- c(56,93,67,60,77,65,95,49,44,63,63,61)
  pb12(resp,k=5)
b) Copy and paste the output into Notepad and print the output.
c) As a 25 design, the effects B, D, BD, E, and DE were thought to be real. The PB(12) design works best when none of the interactions is significant. From the QQ plot and the output for the PB(12) design, which factors, if any, appear to be significant?
d) The output gives the A, B, C, D, and E effects along with the cor- responding least squares coefficients βˆ1, ..., βˆ5. What is the relationship between the coefficients and the effects?
For parts e) to g), act as if the PB(12) design with 5 factors is appropriate.
e) The full model has Yˆ = βˆ0 + βˆ1x1 + βˆ2x2 + βˆ3x3 + βˆ4x4 + βˆ5x5. The reduced model is Yˆ = βˆ0 + βˆj xj where xj is the significant term found in c). Give the numerical formula for the reduced model.
f) Compute Yˆ using the full model if xi = 1 for i = 1,...,5. Then compute Yˆ using the reduced model if xj = 1.
g) If the goal of the experiment is to produce large values of Y , should xj = 1 or xj = −1 in the reduced model? Explain briefly.","Diagnostic, Hypothesis testing,Computational statistics,Estimation"
LR_DO_ch9_P1,"The ANOVA table above is for the Montgomery (1984, pp. 386–389) split plot data where the whole plots are assigned to factor A and to blocks in a completely randomized block design. The response variable is tensile strength of paper. Factor A is (preparation) method with 3 levels (1, 2, 3). Factor B is temperature with 4 levels (200, 225, 250, 275). The pilot plant can make 12 runs a day and the experiment is repeated each day, with days as blocks. A batch of pulp is made by one of the 3 preparation methods. Then the batch of pulp is divided into 4 samples, and each sample is cooked at one of the four temperatures.
a) Perform the test corresponding to A. b) Perform the test corresponding to B. c) Perform the test corresponding to AB.",Hypothesis testing
LR_DO_ch9_P2,"The ANOVA table above is for the Kuehl (1994, pp. 473–481) split plot data where the whole plots are assigned to factor A and to blocks in a completely randomized block design. The response variable is the average chlorophyll content (mg/gm of turf grass clippings). Factor A is nitrogen fertilizer with 4 levels (1, 2, 3, 4). Factor B is length of time that thatch was allowed to accumulate with 3 levels (2, 5, or 8 years).
There were 2 blocks of 4 whole plots to which the levels of factor A were assigned. The 2 blocks formed a golf green which was seeded with turf grass. The 8 whole plots were plots of golf green. Each whole plot had 3 subplots to which the levels of factor B were randomly assigned.
a) Perform the test corresponding to A. b) Perform the test corresponding to B. c) Perform the test corresponding to AB.",Hypothesis testing
LR_DO_ch9_P3,"The ANOVA table above is for the Snedecor and Cochran (1967, pp. 369–372) split plot data where the whole plots are assigned to factor A and to blocks in a completely randomized block design. Factor A = variety of alfalfa (ladak, cossack, ranger). Each field had two cuttings, with the second cutting on July 7, 1943. Factor B = date of third cutting (none, Sept. 1, Sept. 20, Oct. 7) in 1943. The response variable was yield (tons per acre) in 1944. The 6 blocks were fields of land divided into 3 plots of land, one for each variety. Each of these 3 plots was divided into 4 subplots for date of third cutting. So each block had 3 whole plots and 12 subplots.
a) Perform the test corresponding to A. b) Perform the test corresponding to B. c) Perform the test corresponding to AB.",Hypothesis testing
LR_DO_ch9_P4,"Following Montgomery (1984, pp. 386–389), suppose the response variable is tensile strength of paper. One factor is (preparation) method with 3 levels (1, 2, 3). Another factor is temperature with 4 levels (200, 225, 250, 275).
a) Suppose the pilot plant can make 12 runs a day and the experiment is repeated each day, with days as blocks. A batch of pulp is made by one of the 3 preparation methods. Then the batch of pulp is divided into 4 samples, and each sample is cooked at one of the four temperatures. Which factor, method, or temperature is assigned to subplots?
b) Suppose the pilot plant could make 36 runs in one day. Suppose that 9 batches of pulp are made, that each batch of pulp is divided into 4 samples, and each sample is cooked at one of the four temperatures. How should the 9 batches be allocated to the three preparation methods, and how should the 4 samples be allocated to the four temperatures?
c) Suppose the pilot plant can make 36 runs in one day and that the units are 36 batches of material to be made into pulp. Each of the 12 method tem- perature combinations is to be replicated 3 times. What type of experimental design should be used? (Hint: not a split plot.)

",Hypothesis testing
LR_DO_ch9_P5,"a) Download (http://lagrange.math.siu.edu/Olive/lregdata.txt) into R, and type the following commands. Then copy and paste the output into Notepad and print the output.
  attach(guay)
  out<-aov(plants~variety*treatment + Error(flats),guay)
  summary(out)
  detach(guay)
This split plot data is from Chambers and Hastie (1993, p. 158). There are 8 varieties of guayule (rubber plant) and 4 treatments were applied to seeds. The response was the rate of germination. The whole plots were greenhouse flats and the subplots were subplots of the flats. Each flat received seeds of one variety (A). Each subplot contained 100 seeds and was treated with one of the treatments (B). There were m = 3 replications so each variety was planted in 3 flats for a total of 24 flats and 4(24) = 96 observations.
b) Use the output to test whether the response depends on variety.","Computational statistics, Hypothesis testing"
LR_DO_ch9_P6,"Download (http://lagrange.math.siu.edu/Olive/lregdata.txt) into R, and type the following commands. Then copy and paste the output into Notepad and print the output. This split plot steel data is from Box et al. (2005, p. 336). The whole plots are time slots to use a furnace, which can hold 4 steel bars at one time. Factor A = heat has 3 levels (360, 370, 380o F). Factor B = coating has 4 levels (4 types of coating: c1, c2, c3, and c4). The response was corrosion resistance.
a) Perform the test corresponding to A. b) Perform the test corresponding to B. c) Perform the test corresponding to AB.

  attach(steel)
  out<-aov(resistance~heat*coating + Error(wplots),steel)
  summary(out)
  detach(steel)","Computational statistics, Hypothesis testing"
LR_DO_ch9_P7,"This is the same data as in Problem 9.6, using SAS. Copy and paste the SAS program from (http://lagrange.math.siu.edu/Olive/lrsashw.txt) into SAS, run the program, then print the output. Only include the second page of output.
To get the correct F statistic for heat, you need to divide MS heat by MS wplots.
","Computational statistics, Hypothesis testing"
LR_DO_ch9_P8,"a) Copy and paste the SAS program from (http://lagrange.math.siu.edu/Olive/lrsashw.txt) into SAS, run the pro- gram, then print the output. Only include the second page of output.
This data is from the SAS Institute (1985, pp. 131–132). The B and AB ANOVA table entries are correct, but the correct entry for A is the last line of output where Block*A is used as the error.
b) Perform the test corresponding to A. c) Perform the test corresponding to B. d) Perform the test corresponding to AB.","Computational statistics, Hypothesis testing"
LR_DO_ch10_P1,"a) Find the distribution of X2.
b) Find the distribution of (X1,X3)T.
c) Which pairs of random variables Xi and Xj are independent? d) Find the correlation ρ(X1,X3).

","Probablity distribution, Linear algebra"
LR_DO_ch10_P2,"Recall that if X ∼ Np(μ, Σ), then the conditional distribution of
X given that X = x is multivariate normal with mean μ +Σ Σ−1(x − 1 2 2 1 12 22 2
μ ) and covariance matrix Σ − Σ Σ−1Σ
.
2
11 122221
Let σ12 = Cov(Y,X) and suppose Y and X follow a bivariate normal distribution a) If σ12 = 0, find Y |X. Explain your reasoning. b)Ifσ12 =10findE(Y|X).
c) If σ12 = 10, find Var(Y |X).

","Probablity distribution, Linear algebra"
LR_DO_ch10_P3,"a)Ifσ12 =10findE(Y|X).
b) If σ12 = 10, find Var(Y |X).
c) If σ12 = 10, find ρ(Y,X), the correlation between Y and X.","Probablity distribution, Linear algebra"
LR_DO_ch10_P4,"where c > 0 and 0 < γ < 1. Following Example 10.2, show that X has an elliptically contoured distribution assuming that all relevant expectations exist.

","Probablity distribution, Linear algebra"
LR_DO_ch10_P5,"In Proposition 10.5b, show that if the second moments exist, then Σ can be replaced by Cov(X).","Probablity distribution, Linear algebra"
LR_DO_ch10_P6,"The table (W) above represents 3 head measurements on 6 people and one ape. Let X1 = cranial capacity, X2 = head length, and X3 = head height. Let x = (X1, X2, X3)T . Several multivariate location estimators, in- cluding the coordinatewise median and sample mean, are found by applying a univariate location estimator to each random variable and then collecting the results into a vector. a) Find the coordinatewise median MED(W).","Probablity distribution, Linear algebra"
LR_DO_ch10_P7,"Using the notation in Proposition 10.6, show that if the second
moments exist, then","Probablity distribution, Linear algebra"
LR_DO_ch10_P8,"Using the notation under Lemma 10.4, show that if X is elliptically contoured, then the conditional distribution of X1 given that X2 = x2 is also elliptically contoured.

","Probablity distribution, Linear algebra,Multiple Linear Regression"
LR_DO_ch10_P9,"Suppose Y ∼ Nn(Xβ, σ2I). Find the distribution of (XTX)−1XTY if X is an n×p full rank constant matrix and β is a p×1 constant vector.","Probablity distribution, Linear algebra"
LR_DO_ch10_P10,"Recall that Cov(X, Y ) = E[(X −E(X))(Y −E(Y ))T ]. Using the notation of Proposition 10.6, let (Y, XT )T be ECp+1(μ, Σ, g) where Y is a random variable. Let the covariance matrix of (Y, XT ) be: where c is some positive constant. Show that E(Y |X) = α + βT X where","Probablity distribution, Linear algebra"
LR_DO_ch10_P11,"Let X be a p×1 random vector with E(X) = 0 and Cov(X) = Σ. Let B be any constant full rank p × r matrix where 1 ≤ r ≤ p. Suppose that for all such conforming matrices B,
E(X|BT X)=MBBTX
where M B a p × r constant matrix that depend on B.
Using the fact that ΣB = Cov(X,BTX) = E(XXTB) =
E[E(XXTB|BTX)], compute ΣB and show that MB = ΣB(BT ΣB)−1. Hint: what acts as a constant in the inner expectation?

","Probablity distribution, Linear algebra"
LR_DO_ch10_P12,"a) Download the maha function that creates the classical Maha-
lanobis distances.
b) Enter the following commands and check whether observations 1–40 look like outliers.
  simx2 <- matrix(rnorm(200),nrow=100,ncol=2)
  outx2 <- matrix(10 + rnorm(80),nrow=40,ncol=2)
  outx2 <- rbind(outx2,simx2)
  maha(outx2)","Computational Statistics, Diagnostic, Linear Algebra"
