Problem Set ID,Problem_text,Related_Concept
lr_guren_ch2_p8,"Consider th e linear regression model with
(a) Determine th e least squares estimator 13 of {3 as a function of Yi, i
1, .. . , 4.
(b) Find a further unbi ased estimator for {3 .
(c) Consider the estimator
13 = (Yl + Y2 + YIY3 + YIY4 - Y2Y3 - Y2Y4)
2 Y3 + Y4 + YIY3 + YIY4 - Y2Y3 - Y2Y4
for {3. Explain why 13 is a non-linear estimator and check if 13 is unbi ased
for {3.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p10,"Show that und er th e linear regression model with assumptions (i) to
(iv) , an estimator Ay + a is unbiased for {3 if and only if AX = I p and
a = O","Multiple Linear Regression, Estimation"
lr_guren_ch2_p11,"Consider the linear regression model from Problem 2.8 and th e est imator
73 = (Yl + Y2 - Y3 - Y4)
4 Y3 + Y4 - Yl - Y2
for {3. Show that 13 has a strictly smaller risk than 13 with respect to th e
real-valued unweighted squared error loss, when {3 = 0 is th e true parameter
value. Is this a contradiction to th e Gauss-Markov Theorem?","Multiple Linear Regression, Estimation"
lr_guren_ch2_p12,"Consider the linear regression mod el from Problem 2.8 and the two
estimators
73 - ( 2Yl - Y3 + Y4 ) 1 - 2 -Yl + Y2 + Y3 + Y4 '
for {3 .
2.6 Problems 83
(a) Show that 73 1 is uniformly better than 732 with respect to the real-valued
unweighted squared error loss.
(b) Show that a similar statement does not hold with respect to the matrixvalued squared error loss.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p13,". Let T be a symmetric positive definite matri x and let
fr({3 . ) = (y - X{3. )'T(y - X{3. ) .
(a) Show th at
minfr({3. ) = fr(fJT) fl.
holds true for fJT = (X'TX)-lX'Ty (weight ed least squares estimator).
[Hint: T =T 1
/
2T1
/
2 .]
(b) Explain why und er a linear regression model with assumptions (i) to(iv) ,
th e least squares estimator fJ is uniformly not worse than a weighted least
squares estimator fJT (with respect to the matrix-valued squared error
loss or th e real-valued unweighted squared erro r loss).","Linear Algebra, Multiple Linear Regression, Estimation"
lr_guren_ch2_p14,"Consider th e linear regression model with assumptions (i) to (iv). Show
that for Ay E U({3) and p({3,(3 ) = E[(73 - {3)'(73 - {3)] the identity
p({3 ,Ay) = p({3 ,fJ)
is satisfied if and only if .it =(X 'X) -l X'","Linear Algebra, Multiple Linear Regression"
lr_guren_ch2_p15,"Show that under the linear regression model the est imator fJ k
(X 'X + klp )-lX'y , where k is fixed, satisfies the two conditions
(i) E(fJk) = {3 - k(X'X + klp )-l{3 ;
(ii) COV(fJ k) = a 2X'X(X'X + kIp )- 2.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p16,"Show that for a fixed k th e estimator fJk = (X 'X + klp)-lX'y is
unbiased for {3 if and only if k = O.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p17,"Recall the situation from Example 2.6 and consider th e individual element s (fJ)i and (fJ1 /5)i, i = 1,2, of fJ and fJ1 /5 as estimato rs for (31 and (32.
Compute
(i) E[(fJ 1/5)i], i = 1,2 ;
(ii) Var[ (fJ)d and Var[(fJ1/5)i], i = 1,2.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p18,"Consider th e linear regression model with assumptions (i) to (iv).
(a) Determine p({3 , fJ ) = Lf=l Var(fJi) as a function of the eigenvalues
of X' X . What effect does a small eigenvalue of X' X on the sum
Lf= l Var(fJi) has?
84 2 The Linear Regression Model
(b) Determine L:f=l Var((.8 k)i) as a function of the eigenvalues of XiX.
(c) Show that L:f=l Var((.8 k)i) L:f=l Var(.8 i) is always satisfied.
[Hint: spectral decomposition of X'X .J","Linear Algebra, Multiple Linear Regression"
lr_guren_ch2_p19,"Consider the linear regression model with n = 10 observations and
p = 4 independent variables
1 2 3 4 5 6 7 8 9 10
Xi,l 1.9 1.8 1.8 1.8 2.0 2.1 2.1 2.2 2.3 2.3
Xi ,2 2.2 2.2 2.4 2.4 2.5 2.6 2.6 2.6 2.8 2.7
Xi~ 1.9 2.0 2.1 2.2 2.3 2.4 2.6 2.6 2.8 2.8
Xi,4 3.73.83.63.83.83.73.84.03.73.8
(percentage of research and development expenses on the gross national product of four countries in ten different years).
(a) Compute the eigenvalues of XiX.
(b) ComputeL:f=l Var(.8 i).
(c) Compute v := L:f=l Var((.80.02)i)' What is the amount of reduction of v
compared to L:f=l Var(.8i)?","Linear Algebra, Multiple Linear Regression"
lr_guren_ch2_p20,"Show that if in the linear regression model the matrix X is not of full
column rank, i.e. assumption (ii) is violated, then U(f3) =0.","Linear Algebra, Multiple Linear Regression"
lr_guren_ch2_p21,"Bias of the positive square root of the least squares variance estimator:
(a) Let X '"" X7k) ' Show that
where r(·) is the Gamma function.
(b) Use Theorem 2.7 to show that under the linear regression model with
assumptions (i) to (iv) and (v)
_(n_ p )-1/2r(~) E(a) - 2 r(y) a ,
where ais the positive square root of the least squares variance estimator ~2
a .
(c) Show that for
( ) _ r(r + !)
c r - ,jTr(r) , r > 0 ,
it follows that c(r) < 1 for r < 00 and limr-too c(r ) = 1.
(d) Conclude that under the assumptions of (b) it follows that E(a) < a and
limn-too E(a) = a.","Estimation, Probability Distribution"
lr_guren_ch2_p22,"To see that unbiasedness and consistency must not come along toget her , consider the following:
(a) Let Y1 , . .. , Yn , ... be a series ofrandom variables such that P(Yn =e) =
1 - In and P(Yn =n) = In for any n, where eis not an integer. Show
that Yn converges in probability to ebut E(Yn ) :j:. e.
(b) Let Y1 , . . . , Yn , . .. be a series of random variables such that P(Yn = 2e)= = P(Yn = 0) for any n, where e > 1. Show that E(Yn ) = e, but Yn
does not converge in probability to e.","Estimation, Probability Distribution"
lr_guren_ch2_p23,"Consider a linear regression model with n = 9, p = 3, and normally
distributed errors, i.e, model assumptions (i) to (vi) are satisfied. The matrix
X is given as
(
1 1 1 0 0 0 0 0 0)
X' = 0 0 0 1 1 1 0 0 0 .
000000111
(a) Show that the ordinary least squares estimator :0 for {) is given by
1 (Yl + Y2 + Y3) {) = v'3 Y4 +Y5 +Y6
Y7 + Ys + Y9
in the reparameterized model.
(b) Show that the Stein estimator :Os for {) is given by
in the reparameterized model.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p25,"Consider the linear regression model from Problem 2.23 and a realization
y = (-.8946, -.8882, - .0525, -.5289, .6568, .0842, 1.072, -.0459, .4267)' .
(a) Compute the estimates :0 and :Os for {) in the reparameterized model.
(b) Compute the estimates 13 and 13s for 13 in the original model.
(c) Compute the losses of the estimates :0 , :Os for {) and the losses of the
estimates 13, 13s for 13, each with respect to the unweighted squared error
loss. The true parameter in the original model is 13 = (0,0.1,0.2)'.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p26,"Consider the reparameterized regression model. If u 2 is known, th en
( (p - 2)U2 ) fJs = 1 - ,~ fJ
fJfJ
can be used as an estimator for fJ (Stein estimation for known ( 2 ) . Show that
where A=fJ'fJ/2u2 .","Multiple Linear Regression, Estimation"
lr_guren_ch2_p29,"Consider th e linear regression model with assumptions (i) to (iv) and
(vi), where R2 > 0. Let
p- 2 y'My
/= 1 - n-p+2j!lx'x/3 '
i.e, /3s = //3. Show that th e equivalence
° p-2 R2 /~1 ¢:} --<
n
is satisfied.","Multiple Linear Regression, Estimation"
lr_guren_ch2_p30,"Consider the model from Problem 2.23 with a sample value
y = (.4900, .3102,-.5425, -.2422, - .6419, .1904, .9029, .2579, -.9080)' .
~ ~ ~ +
(a) Compute the estimates fJ, fJs, and fJs for fJ in the reparameterized model. ~ +
(b) Compute th e losses of the estimates fJ, fJs and fJs with respect to the
unweight ed squared error loss. The true parameter in th e original model
is {3 = (0,0.1,0.2)'.","Multiple Linear Regression, Estimation"
lr_guren_ch3_p1,"Show th at th e restricted least squares estimator f3R satisfies the identity
Rf3R = r .","Multiple Linear Regression, Estimation"
lr_guren_ch3_p2,Show that under th e linear regression model with assumptions (i) to (iv) is satisfied for every vector /3 . E lRP wit h R/3. = r.,"Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p3,"Show that under the linear regression model with assumptions (i) to (iv)
and (viii) an estimator Ay +a is unbiased for 13, if and only if the conditions
AX(Ip - R'(RR')-1 R) + R'(RR')-1 R = I p
and
a =(Ip - AX)R'(RR')-lr
are met. [Hint: The set of all 13 such that Rf3 =r coincides with the set of
all 13 satisfying 13 = R'(RR')-lr + (I p - R'(RR')-1 R)z, z E lRP.]","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p4,"Consider a linear regression model with
and linear restrictions /31 + /32 = o.
(a) Derive the restricted least squares estimator /3R of 13 as a function of Yi,
i =1, . . . ,4.
(b) Check whether
= (2Y1 + Y2 + Y3 + Y4)
Yl + Y2 + Y3 + 2Y4
is unbiased for 13 when the given linear restrictions are satisfied (model
assumptions (i) to (iv) and (viii)) .","Multiple Linear Regression, Estimation"
lr_guren_ch3_p5,"Determine MSE(f3,/3R) and p(f3,/3R) for /3R from Problem 3.4. Suppose
that model assumptions (i) to (iv) but not necessarily (viii) are satisfied.","Multiple Linear Regression, Estimation"
lr_guren_ch3_p6,"Explain why under the linear regression model with assumptions (i) to
(iv) none of the two estimators /3 and /3R can be uniformly better than the
other with respect to MSE(f3, ~).","Multiple Linear Regression, Estimation"
lr_guren_ch3_p7,"Consider the regression model from Problem 3.4, where it is only known
that (/31 + /32)2 :s; (12 . Is it nonetheless reasonable to use the restricted least
squares estimator with corresponding restrictions /31 + /32 = O?","Multiple Linear Regression, Estimation"
lr_guren_ch3_p8,"Plot p(f3,/3R) and p(f3,/3) from Problem 3.4 as functions of >. = 8'(RS-1R')-18/2(12 with (12 =1.","Multiple Linear Regression, Estimation"
lr_guren_ch3_p9,"Consider a linear regression model with n = 9, p = 3 and normally
distributed errors, so that assumptions (i) to (vi) are satisfied. The model
matrix is given as
(
1 1 1 0 0 0 0 0 0)
X' = 0 0 0 1 1 1 0 0 0 .
000000111
Moreover, the observed vector y is given as
y = (-.8946, -.8882, - .0525, -.5289, .6568, .0842, 1.072, -.0459, .4267)'.
206 3 Alternative Estimators
(a) Compute the level a =0.05 pretest estimator j3p for {3 under the imposed
restriction /31 + /32+ /33 =0..
(b) Compute the observed loss of j3p when {3 = (0,0.1,0.2)' is the true parameter and the usual unweighted squared error loss function is used.
Compare the result with the loss of 13 (Problem 2.25 (c)).","Multiple Linear Regression, Estimation"
lr_guren_ch3_p10,"Under the situation of Problem 3.9 compute
A= 8'(RS- 1R')-18/2a2
when ({3 , a2 ) = ((0~1) , 0.5) are the true parameters.","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p11,"Compute in the situation of Example 3.7 the risks p({3,13) and p({3,13(1»)
when ({3 , a2 ) = (G) , 1) is the true parameter. Compare the obtained values
with the observed average losses given in Example 3.7.","Multiple Linear Regression, Estimation"
lr_guren_ch3_p13,"Show that if {3 E C(U2), i.e. {3
MSE({3,O) :SL MSE({3,{3 ).
U 2b for some vector b, then","Multiple Linear Regression, Estimation"
lr_guren_ch3_p14,"Consider the linear regression model with assumptions (i) to (iv), where
X' X = Alp for some number A > O. Show that for any fixed k > 0 the
inequality p({3, 13k) < p({3,13) holds true for all parameters ({3 , a2) satisfying
the condition
{3'{3 2A + k
~<p~.
Here p(.) stands for the unweighted squared error risk.","Multiple Linear Regression, Estimation"
lr_guren_ch3_p15,"Show that for an n x p matrix X of full column rank the identity
X'X(X'X + kIp)-1 = (X'X + kIp)-1X'X
is satisfied for any k E JR","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p16,"Show that for an n x p matrix X of full column rank the identity
X' X(X' X + kIp)-1 = (k(X'X)-1 + I p) -1
is satisfied for any k 2 O","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p17,"The set of all vectors {{3 E JRP : {3' H{3 :s 1'2 } , where H is an p x p
symmetric positive definite matrix and 1'2 > 0, is called a p-dimensional
ellipsoid . The p semi-axes have length
r/ JIii, i=l, ... ,p,
where PI, .. . , lip are the p eigenvalues of the matrix H.
3.10 Problems 207
(a) Under the linear regression model with assumptions (i) to (iv), let
(
2 )-1 H = kIp + (X 'X)-1 and r 2 = a2 . Show that the semi-axes of
the corres ponding ellipsoid are given as
i = 1, . . . ,p,
where )\1 , . . . , Ap are the eigenvalues of X'X. [Hint : Use the spectral
decomp osition X'X = U AU' with UU' = U'U = I p and A =
diag(A1, . . . , Ap ) .]
(b) Compute the length of t he semi-axes of th e ellipsoid from part (a) for
k = 1/5, a2 = 1, and X as in Example 2.6. Compare th e results with
Fig. 3.14.","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p18,"The set of all vector 13 for which th e inequality p(j3, 13 k) p(j3,(3) hold
true can be written as {j3 E IRP : 13' Hj3 a 2 } .
(a) Determine the matrix H .
(b) Compute the length of the semi-axes of the corresponding ellipsoid for
k = 1/5 and a2 = 1, and X as in Example 2.6. Compare the results with
Fig. 3.15.","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p19,"Let X = (In , X . ) be an n x p matrix of full column rank. Let Z =
(I n, Z . ) where Z . = CX.D- 1 with C = I n - ~l n1 and D - 1 being a
(p - 1) x (p - 1) diagonal matrix with positive main diagonal elements .
(a) Show that C(X) = C(Z). [Hint : The condition a E C(X) is satisfied
if and only if there exists some number 0: and some vector u such that
a = 1no:+X.u. Find a number 'Y and a vector v such that a = 1n'Y+Z.v.
Thi s shows that C(X) C(Z). It then remains to demonstrate the reverse
inclusion.]
(b) Show that the least squares variance estimator for a2 is the same in the
two models y = Xj3 + e and y = Z6 + e , where , e ,..., (0, a2 I n)' [Hint :
The equality of two column spaces is equivalent to the equality of the
ort hogonal projectors onto these column spaces.]","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p20,"Consider the situation from Problem 3.19.
(a) Show that
rk(Z) = rk (In - C ,CX. ) = rk(In - C ) + rk(CX. )
holds true . [Hint: For suitable matri ces A and B the formula rk(A , B ) =
rk(A) + rk(B) - dim[C(A) n C(B)] is valid.]
(b) Show that
rk(C X.) =rk(X.) .
[Hint: For suitable matrices A and B the formula rk(AB) = rk (B) -
dim [N(A ) n C(B)] holds true. If A is an orthogonal projector, then
N(A) = C(I - A ).]
208 3 Alt ernative Estimators
(c) Show that Z is of full column rank.","Linear Algebra, Multiple Linear Regression"
lr_guren_ch3_p21,"Consider the linear regression model with n =9 observations given as
1 23 4 5 6 7 89
Yi 41.9 45 49.250.652.655.1 56.2 57.3 57.8
Xi ,I 12.4 16.9 18.4 19.4 20.1 19.619.821.121.7
Xi ,2 28.2 32.2 37 37 38.6 40.7 41.5 42.9 45.3
(Here Y is th e total of consumption in the USA, X l is the total income from
profits and X2 is th e total income from wages. The variables have been observed in the years 1921 to 1929.)
Assume a linear regression mod el with int ercept, st andardize the nonconstant independ ent variables, and compute th e ordinary least squares and
ridge estimates.","Multiple Linear Regression, Estimation"
lr_guren_ch3_p22,"Consider th e estimator
see [64].
(a) Show that 11,8(d)1I 2 11.811 2 is sat isfied.
(b) Show that ,8(0) =.8k=I and ,8 (1) =.8.
(As follows from (b), th e est imator ,8(d) can be seen as a weighte d average between the ordinary least squares and the ridge est imator with ridge
parameter k =1.)","Multiple Linear Regression, Estimation"
lr_guren_ch3_p23,"Consider th e linear regression model described by y = InJ.l+ e, e '""
(0 , 0'2 In ), where In st ands for the n x 1 vector whose every element is 1.
Show th e following statements :
n
(a) The ridge estimator for J.l is given as /ik = --kYo n +
(b) Th . kknif d rid . J:'"" xJ (n - l)k e jac rnre n ge estimator lor J.lIS given as J.lk =J.lk+ n(n _ 1 + k) J.lk ·
k
(c) The almost unbiased ridge estimator is given as /i~ = /ik + --kl1k.","Ridge Regression, Estimation"
lr_guren_ch3_p25,"Consider th e situation from Example 3.20, where the true parameters
are ({3, 0'2) = (G) , 1).
(a) Compute p({3 ,.8(7/3)) and p({3 , fJ ).
(X'X + K )-lX'y is
3.10 Problems 209
(b) Compute A = MSE(,8, ,8) - MSE(,8, ,8(7/ 3)) . Is the matrix A nonn egative definite?",Estimation
lr_guren_ch3_p26,"Show that ,8U1M) can be written as
~, , 2
;q(~ ) _ ,8 X Y ;q _ (n - p)R ;q
!J OM - , !J - ) 2 !J","Linear Algebra, Estimation"
lr_guren_ch3_p30,"Consider the linear regression model with assumptions (i) to (iv) and
0 < R2 < 1. Show that ,8'X'X ,8 - c~€ is positi ve if and only if c < R2/(1-
R2 ) .","Linear Algebra, Estimation"
lr_guren_ch3_p31,"Find a matrix X . and a vector Y . such that the general ridge estimator
,8K = (X 'X + K )- l X'y can be written in the form
,8K = (X: X.)-l X :y • .","Ridge Regression, Estimation"
lr_guren_ch3_p32,"Show that the general rid ge estimator ,8K
unbiased for ,8 if and only if K = O.","Ridge Regression, Estimation"
lr_guren_ch3_p33,"Show that the Marquardt estimator ,8 , c > 0, IS of the form of a
general ridge estimator with K = ((1 - c)/c) 2A2U~,","Ridge Regression, Estimation"
lr_guren_ch3_p34,"Show that the almost unbiased ridge est imator ,8k is of the form of a
general ridge est imator with K =k2(X' X + 2kIp )- 1.","Ridge Regression, Estimation"
lr_guren_ch3_p35,"Show that the iteration estimator ,80 m is of the form of a general
ridge estimator with K = X'X(I p - (I p --.: ilX 'x)m+l)-l - X'X. [Hint:
K = U (Ar- 1 - A)U', where X'X = U AU' an d r is matrix from Theorem
3.15.]","Ridge Regression, Estimation"
lr_guren_ch3_p36,"Sommers [106] considers the est imator
~m
Show th at (3k is of the form of a general ridge estimator with K
k[(X' x )m-l]-l.","Ridge Regression, Estimation"
lr_guren_ch3_p37,"Show that the ordinary least squares estimator /3 is the (uniquely determined) linear minimax estimato r within the set U((3 ) = {Ay : AX = I p }
when (3 E e~ = {(3 E IRP : (3'T(3 ::; e}, i.e. the identity
sup p((3,/3) = _ inf sup p((3 , ~) e~ EU(~ ~E e~
holds true.",Estimation
lr_guren_ch3_p38,"Consider the linear regression model with p > 1 and assumpt ions (i)
to (iv) and (vii), so that X'X = I p • Show that for p((3 ,~ = tr[MSE((3 ,~ )]
the condition
p((3,/3p I) < p((3,/3I p )
is satisfied for any vector (3 E IRP such that (3'(3 ::; a 2 .",Estimation
lr_guren_ch3_p39,"Consider the linear regression model with assumptions (i) to (iv) , where
(3 E IRP is the realization of a p x 1 random vecto r b with E(bb') = a2M.
The p x p matrix M is symmetric nonnegative definite.
(a) Show that the Bayes risk of a homogeneous linear estimator Ay for (3
can be written as
pB((3 ,Ay) = a2 tr[A(X M X ' + I n)A' - AXM - MX'A' + M] .
(b) Let A . = MX'(XMX' + I n)-l . Show th at the Bayes risk of A .y is
given by
(c) Show that the Bayes risk of a homogeneous linear estimator Ay for (3
can be written as
(d) Explain why we can call A .y a homogeneous linear Bayes estimator for
(3.","Linear Algebra, Estimation"
lr_guren_ch3_p40,"Consider the linear regression model with assumptions (i) to (iv), where
/3 E IRP is the realization of a p x 1 random vecto r b with E(b) = I-L and
Cov( b) = a 2T . The p x p matrix T is symmetric nonnegative definite.
3.10 Problems 211
(a) Show that the Bayes risk of a linear estimator Ay+a for 13 can be written
in the form pB(13 ,Ay + a) =f + g, where
f = (j2tr(AA') + (j2tr[(AX - Ip)T(AX - I p)']
and
9 = tr[((AX - Ip)JL + a)((AX - Ip)JL + an'] .
(b) Show that A . y +a . is the linear Bayes estimator for 13, if A. minimizes
th e function f with respect to all p x n matrices A , and moreover a. =
JL - A.X JL holds true.
(c) Show th at the function f is minimal with respect to all p x n matrices A
for A = A. with A. = TX'(XTX' + I n )- 1.","Linear Algebra, Estimation"
lr_guren_ch3_p41,"Let 8 be a p x p symmetric positive definite matrix and let T be a
p x p symmetric nonnegative definite matrix . Show that the matrix T(T +
8-1 )-1 8- 1 is symmetric, so th at
holds true.","Linear Algebra, Estimation"
lr_guren_ch3_p42,"Show that und er the linear regression model with assumptions (i) to
(iv), th e direction modified shrinkage estimator
13{3o([1) = (1 - a)13o+ a13, 1
a=--, 1+0
0 > 0,
is a linear Bayes estimator for 13 , when 13 E lR,v is supposed to be the realization of a p x 1 random vector b with E(b) =130 and Cov(b) =0(j2(X'X)-l .",Estimation
lr_guren_ch3_p43,"Show that under the linear regression model with assumptions (i) to
(iv), the estimator
is a linear Bayes estimator for 13, when 13 E lRP is supposed to be the realization of a p x 1 random vector b with E(b) = 130 and Cov(b) = k(j2Ip",Estimation
