Problem Set ID,Problem text,Related Concept
lr_gu_LR_p4.2,"In the bivariate regression model of Exercise 4.1, show that
E(MESS) = σ
2
+ b2Σx1
2
, and
E(MRSS) = σ
2
where MESS = mean or average explained sum of squares and MRSS =
mean or average residual sum of squares. (Hint: Refer to Table 4.2.) ","Probability Distribution, Estimation"
lr_gu_LR_p4.3,"Consider the data in Tables 1 and 2 below:
Table 1
Y X2 X3
1 2 4
2 0 2
3 4 12
4 6 0
5 8 16
Table 2
Y X2 X3
1 2 4
2 0 2
3 4 0
4 6 12
5 8 16
The only difference between the two tables is that the third and fourth values of X3 are
interchanged.
a. Estimate the two regressions.
b. What conclusions do you draw from this exercise?
c. What may be the reason for the difference between the two regressions? ","Multiple Linear Regression, Estimation"
lr_gu_LR_p4.4,"Suppose in the model
Yi = B1 + B2X2i + B3X3i + ui
r23 the coefficient of correlation between X2 and X3 is zero. Therefore, someone
suggests that you estimate the following regressions:
Yi = C1 + C2X2i + u1i
Yi = D1 + D3X3i + u2i
a. Willc2 = b2 and d3 = b3? Why?
b. Will b1 equal to c1 or d1, or some combination thereof?
c. Will var(b2) = var(c2) and var(b3) = var(d3)? Explain. ","Multiple Linear Regression, Simple Linear Regression, Hypothesis Testing"
lr_gu_LR_p4.5,"Suppose that X1,X2,…,Xn is a random sample from N(θ,1) The ML estimator of γ is
γ =
¯
X.
What is the ML estimator of T = e
γ
?(Hint: Consistency property of ML estimators.) ","Estimation, Probability Distirbution"
lr_gu_LR_p4.6,"Suppose that X1,X2,…,Xn is a random sample from N(γ,σ2
). The ML estimator of θ is
^
θ =
¯
X.
Let
˜
θ,
the sample median, be an alternative estimator of θ. It can be shown that the ML
estimator satisfies10
√n(θn − θ) ~ N(0, σ
2
) (i.e., asymptotic normality)
It can also be shown that the median satisfies
√n(
˜
θ − θ) ~ N(
0, σ
2π
2 )
That is, it is also asymptotically normally distributed with the stated parameters.
Since both the estimators converge to the right value, what is the difference between the two? Which is
relatively more efficient? What is the practical importance of this finding? ","Probaility Distribution, Estimation"
lr_gu_LR_p5.1,"Consider the following model:15
Yi = BXi + ui
, i = 1, 2
where u1 ~ N(0, σ
2
) and u2 ~ N(0, 2σ
2
), and they are statistically independent. If X1 =
+1and X2 = –1, obtain
a. the weighted least-squares estimate of B.
b. the variance of the estimate. ","Simple Linear Regression, Estimation"
lr_gu_LR_p5.2,"Let Z = c+Dy, where y is a random vector, D is a fixed matrix, and c is a fixed vector.
Show that
a. E(Z) = c+D E(y)
and
b. cov(Z) = DΣyyD
′
where
Σyy
is the covariance of y. ","Probability Distribution, Linear Algebra"
lr_gu_LR_p5.3,"Consider the following model without the intercept:
Yi = BXi + ui
You are told that var(ui
) = σ
2Xi
2
. Show that   var(B) =
σ
2
ΣXi
4
(ΣXi
2
)
2",Probability Distribution
lr_gu_LR_p5.4,"Which of the following statements are true or false?
a. In regression analysis, the assumption that the error term u is normally
distributed is essential to validate the use of F and t tests.
b. H0: B1 = B2B3 is not a linear hypothesis.
c. The formula
E(b) = B + (X ′ X)
−
1X ′ X2B2
gives the bias effect on b of failing to include the terms X2B2 in the model. ","Probability Distribution, Hypothesis Testing"
lr_gu_LR_p5.5,"Suppose in the hypothetical savings–income regression discussed in the text, the error ui
has the following error variance structure:
E(ui
2
) = σ
2Xi
That is, the error variance is proportional to the level of income X. How would you transform the
savings–income regression so that in the transformed model the error variance is homoscedastic? ","Hypothesis Testing, Probability Distribution"
lr_gu_LR_p7.1,"Using the lin-log model of (7.26), we obtained the following regression results:
Yi = 0.9304 − 0.0777lnXi
t = (25.5836)( − 21.6482) R
2
= 0.3508
where Y = share of food expenditure in total expenditure and X = total expenditure. The
results are based on the data for 869 U.S. households in 1995.
a. How would you interpret this regression?
b. What is the interpretation of the slope coefficient of about −0.08?
c. How would you compute the elasticity of the share of food expenditure in
relation to the total expenditure?
(Hint : Elasticity =
dY
dX
X
Y
)","Generalized Linear Regression, Estimation"
lr_gu_LR_p7.2,"Using the same data as in Exercise 7.1, we estimated the reciprocal model as in Equation
(7.29) and obtained the following results:
Yi = 0.0772+1331.3380(
1
Xi)
t = (19.2595)(20.8161) R
2
= 0.3332
a. How would you interpret this regression?
b. What is the interpretation of the slope coefficient?
c. Is the rate of change in the food expenditure in relation to total expenditure
positive or negative throughout?
d. What would be the share of food expenditure in the total expenditure if the
total expenditure were to increase indefinitely? (Hint: the intercept) ","Generalized Linear Regression, Estimation, Hypothesis Testing"
lr_gu_LR_p7.3,"Suppose instead of estimating the quadratic trend model (7.31), we estimate the model
without the quadratic term. The results are as follows:
RGDPt = 1664.2180 + 186.9939timet
t = (12.6078) + (39.8717) R
2
= 0.9718
This model is known as the linear trend model.
a. How would you interpret this regression?
b. Between the quadratic trend model of Equation (7.32) and the linear trend
model, which would you choose? And why?
c. If the quadratic trend model is the “true” model, what type of specification
error is involved if you use the linear trend model? ",Generalized Linear Regression
lr_gu_LR_p7.4,"In the wage regression results given in Table 4.1, the dependent variable was w, hourly
wage rate in dollars. Suppose now we regress the log of the wage rate on the regressors
given in Table 4.1. The results of this regression are given in the following table (Note:
LW = natural log of W). In this regression, as in the results given in Table 4.1, FE (female),
NW (nonwhite), and UN (union) are qualitative or dummy variables; ED (education in
years) and EX (experience in years) are quantitative variables. The results of “log wage
regression” are as follows:
Dependent Variable: LW
Method: Least Squares
Date: 02/25/17 Time: 17:55
Sample: 1 1289
Included observations: 1289
Variable Coefficient Std. Error t-Statistic Prob.
C 0.905504 0.074175 12.20768 0.0000
FE −0.249154 0.026625 −9.357891 0.0000
NW −0.133535 0.037182 −3.591399 0.0003
UN 0.180204 0.036955 4.876316 0.0000
ED 0.099870 0.004812 20.75244 0.0000
EX 0.012760 0.001172 10.88907 0.0000
R-squared 0.345650 Mean dependent var 2.342416
Adjusted R-squared 0.343100 S.D. dependent var 0.586356
S.E. of regression 0.475237 Akaike info criterion 1.354639
Sum squared resid 289.7663 Schwarz criterion 1.378666
Log likelihood −867.0651 Hannan-Quinn criter. 1.363658
F-statistic 135.5452 Durbin-Watson stat 1.942506
Prob(F-statistic) 0.000000
a. How would you interpret these results?
b. Are the signs of the various coefficients in accord with prior expectations?
c. What is the semielasticity of the wage rate with respect to education? And
with respect to years of experience?
d. Is it possible to compute the wage elasticity with respect to the dummy
variables?28
e. Is the R
2
value given in the preceding table comparable with the R
2
value
given in Table 4.1? Why or why not? ","Multiple Linear Regression, Estiamtion, Remedy"
